PMCID,DOI,Field,Category,CopilotValue,HumanValue,CopilotHasNumericOrPercent,HumanHasNumericOrPercent,NumericOrPercentPresence,NumericOrPercentComparable,NumericMatch,PercentMatch,DirectNumericPercentMatch,CopilotMissingMode,HumanStrongNegative,NeiRelevant,NeiScore,NeiRule,CopilotYesNo,HumanYesNo,YesNoRelevant,YesNoComparable,YesNoScore,YesNoRule,CopilotUrlCount,HumanUrlCount,UrlRelevant,UrlComparable,UrlScore,UrlRule
PMC10174551,10.1371/journal.pcbi.1011001,dataset/provenance,dataset,"* **Data Source Name**:
  * **n9k-train**: Not enough information is available.
  * **n9k-novel**: Not enough information is available.
  * **gut**: Not enough information is available.
  * **skin**: Not enough information is available.
  * **oral**: Not enough information is available.
  * **marine**: Not enough information is available.
  * **plant**: Not enough information is available.
  * **UHGG**: Not enough information is available.
  * **TwinsUK**: Not enough information is available.
  * **Animal-gut**: Not enough information is available.
  * **Pinnell2019**: Not enough information is available.
  * **Mantri2021**: Not enough information is available.
  * **MarineMetagenomeDB**: Not enough information is available.
  * **CAMI2 marine**: https://frl.publisso.de/data/frl:6425521/marine/
  * **CAMI2 plant-associated**: https://frl.publisso.de/data/frl:6425521/plant_associated/
  * **TerrestrialMetagenomeDB**: Not enough information is available.

* **Total Data Points**:
  * **n9k-train**: 52.5M contigs.
  * **n9k-novel**: 6.8M contigs.
  * **gut**: 0.44M contigs.
  * **skin**: 0.32M contigs.
  * **oral**: 0.41M contigs.
  * **marine**: 1.0M contigs.
  * **plant**: 1.0M contigs.
  * **UHGG**: Not enough information is available.
  * **TwinsUK**: Not enough information is available.
  * **Animal-gut**: Not enough information is available.
  * **Pinnell2019**: Not enough information is available.
  * **Mantri2021**: Not enough information is available.
  * **MarineMetagenomeDB**: Not enough information is available.
  * **TerrestrialMetagenomeDB**: Not enough information is available.

* **Previous Use**:
  * **n9k-train**: No.
  * **n9k-novel**: No.
  * **gut**: No.
  * **skin**: No.
  * **oral**: No.
  * **marine**: No.
  * **plant**: No.
  * **UHGG**: Yes. Cited as [11].
  * **TwinsUK**: Yes. Cited as [27].
  * **Animal-gut**: Yes. Cited as [28].
  * **Pinnell2019**: Yes. Cited as [29].
  * **Mantri2021**: Yes. Cited as [30].
  * **MarineMetagenomeDB**: Yes. Cited as [31].
  * **TerrestrialMetagenomeDB**: No.
  * **CAMI2 marine**: Not enough information is available.
  * **CAMI2 plant-associated**: Not enough information is available.","An existing database was the primary source of the data - Release 202 of the Genome Taxonomy Database (GTDB).
-18,000 reference genomes from the database were selected for further use.
-From this database the authors created a synthetic dataset comprised of bacterial and archaeal genomes with the simulation software 'Metagenome read simulation of multiple synthetic communities' (https://github.com/nick-youngblut/MGSIM).
-Illumina ART read simulator was used to generate paired-end Illumina reads of length 100 or 150 using either the default “Illumina HiSeq 2500” error profile or the “HiSeq2500L150R1/2” error profile used in CAMISIM.
-Information detailed with parameters of the simulation in 'Table 1. Parameter values used in the simulation pipeline.'",True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,mixed,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,dataset/splits,dataset,"* **Number of Splits**: 3 (Training, Testing, Validation).
* **Split Counts**:
  * Train: 9000
  * Test: 9000
  * Validation: 900 (10% of the training set)
* **Class Distribution**:
  * Training: The dataset was balanced by randomly selecting a 10% subset of correctly assembled contigs at every training epoch, resulting in a positive sample rate of 24%.
  * Testing: Not enough information is available.
  * Validation: Not enough information is available.","18,000 total reference genomes selected from GTDB. Of these:
-Test: 9000 reference genomes used 
-Training: 9000 reference genomes used

10% of the training dataset was used as a validation set for the model selection.",True,True,True,True,True,True,True,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * **n9k-train and n9k-novel datasets**: http://ftp.tue.mpg.de/ebio/projects/ResMiCo/ | Not enough information is available.
  * **UHGG**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **TwinsUK**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **Animal-gut**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **Pinnell2019**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **Mantri2021**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.
  * **MarineMetagenomeDB**: https://doi.org/10.1371/journal.pcbi.1011001.t002 | Not enough information is available.","Yes - data available: http://ftp.tue.mpg.de/ebio/projects/ResMiCo/
This is on the: MPI for Biology FTP server, author noted choice due to size of datasets.",True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC10174551,10.1371/journal.pcbi.1011001,optimization/meta,optimization,"* Meta-predictor: No.

* Constituent Algorithms: Not enough information is available.",No,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,optimization/config,optimization,"* Configuration Source: The list of optimized hyper-parameters and the attempted values are provided in Table B in S1 Text. Source: Supplementary.
* Configuration Source: The ResMiCo model was built using TensorFlow. URL: http://download.tensorflow.org/paper/whitepaper2015.pdf | Not enough information is available.
* Configuration Source: The MGSIM tool is available at https://github.com/nick-youngblut/MGSIM. Not enough information is available.
* Configuration Source: The n9k-train and n9k-novel datasets are available at http://ftp.tue.mpg.de/ebio/projects/ResMiCo/. Not enough information is available.",The list of optimised hyperparameters and the attempted values are provided in Table B in S1 Text. (https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1011001#pcbi.1011001.s001). Unclear if further information available and this is unlikely based on the GitHub which is functionally in place to share reuse of the model vs considerations of sharing precise configuration information.  ,True,True,True,True,True,False,True,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,3,1,True,True,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,model/duration,model,"* **Execution Time**: Not enough information is available.
* **Hardware Used**: Not enough information is available.","There is a section dedicated to benchmarking the ResMiCo model resource requirements in the materials and methods.
-Using the CAMI gut dataset, ResMiCo ran > 2x faster with a GPU versus a CPU (108 ± 0.7 versus 38.7 ± 10.3 contigs per second).
-They further note the reccomendation to use multiple GPUs for training the model on larger datasets.
-While it is feasible to run the model with a CPU, this is at a much slower rate: 140,000 contigs in 1 hour with a single CPU.",False,True,True,False,False,False,False,missing_only,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,model/availability,model,"* Source Code Released: Yes.
* Code URL/License:
  * Source: https://github.com/nick-youngblut/MGSIM | License: Not enough information is available.
* Simplified Run Method:
  * Not enough information is available.",Main ResMiCo GitHub (python package and snakemake pipeline): https://github.com/leylabmpi/ResMiCo - MIT license. Dataset simulation pipeline used available in Snakemake: https://doi.org/10.1093/bioinformatics/bts480 . Dockerfiles noted in the repo but no VMs/web server. Direct pip install possible from a command line and information in GitHub software repo but limitations noted for incompatibility with apple Mac machines due to chipset.  ,False,True,True,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,yes,no,True,True,0.0,yesno_mismatch,1,2,True,True,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,evaluation/confidence,evaluation,"* Statistical Confidence:
  * CIs: Yes - Error bars in Fig 3 and Fig S12 correspond to the standard deviation computed over 5 runs of selecting contigs.
  * p-values: Not enough information is available.",Confidence intervals are not explictly mentioned in the text. If taking the other models as the baseline for camparison the reported AUPRC & AUROC are noted to outperform these throughout the text. More information for the confidence would be useful beyond comparisons already noted for the datasets and other models.,True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,evaluation/availability,evaluation,"* **Are the raw evaluation logs available?**
  Not enough information is available.",Large degree of the evaluation is noted throughout the text & figures or in S1 - Supplementary Material ResMiCo: increasing the quality of metagenome-assembled genomes with deep learning (https://journals.plos.org/ploscompbiol/article/file?type=supplementary&id=10.1371/journal.pcbi.1011001.s001). Statistical code for evaluation not clearly avaialble linked from text or within shared GitHub repository.,False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,dataset/splits,dataset,"* **Number of Splits**: Not enough information is available.

* **Split Counts**:
  * Pediatric sepsis data: Not enough information is available.
  * Breast cancer data: Not enough information is available.
  * Gut microbiome data: Not enough information is available.

* **Class Distribution**:
  * Pediatric sepsis data: Not enough information is available.
  * Breast cancer data: Not enough information is available.
  * Gut microbiome data: Not enough information is available.",We used 10 fold cross validation in all the data sets. ,False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,dataset/availability,dataset,"* **Dataset Publicly Available**: No.

* **Dataset URL/License**:
  * **Simulation Dataset**: https://github.com/ZhenjiangFan/DAG-deepVASE | Not enough information is available.
  * **TCGA Breast Invasive Carcinoma (BRCA) Data**: https://xenabrowser.net/datapages/?dataset=TCGA.BRCA.sampleMap/HiSeqV2&host=https%3A%2F%2Ftcga.xenahubs.net&removeHub=https%3A%2F%2Fxena.treehouse.gi.ucsc.edu%3A443 | Not enough information is available.
  * **Gut Microbiome Data**: https://github.com/ZhenjiangFan/DAG-deepVASE | Not enough information is available.
  * **Pediatric Sepsis Data**: Not enough information is available | Not enough information is available.",https://github.com/ZhenjiangFan/DAG-deepVASE,True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,no,none,True,False,0.0,yesno_not_comparable,2,1,True,True,0.5,url_partial_match
PMC10316696,10.1093/gigascience/giad044,optimization/meta,optimization,"* Meta-predictor: No

* Constituent Algorithms:
  * Not enough information is available",No,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,optimization/parameters,optimization,"* **Parameter Count (p)**:
  * Not enough information is available.

* **Architecture Selection**:
  * The model architecture was selected based on a design principle where the number of neurons in each hidden layer is equal to the number of input features. For example, for simulation data with 100 features, a deep neural network (DNN) with multiple layers of 100 neurons was used. This design was followed to implement the methods reported in the study.","Parameters	Value
Activation function	Rectified linear unit (ReLU)
Initial weight values	Glorot normal intializer
Regularization	𝐿1−𝑟𝑒𝑔𝑢𝑙𝑎𝑟𝑖𝑧𝑎𝑡𝑖𝑜𝑛
Optimization	Adam optimization
Loss function	Mean of squares of errors (MSE)
FDR control rate	0.05
",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,optimization/config,optimization,"* Configuration Source: ""Running parameters of DAG-deepVASE"" section | Not enough information is available
* Configuration Source: ""Table 1"" | Not enough information is available
* Configuration Source: ""Availability of supporting data"" section | Not enough information is available
* Configuration Source: ""Methods"" section | Not enough information is available
* Configuration Source: ""DAG-deepVASE: deep-learning-based causal inference method"" section | Not enough information is available",No,True,False,True,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,none,no,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,model/duration,model,"* Execution Time: Not enough information is available
* Hardware Used: Not enough information is available",Within 6 hours for mid-sized samples.,False,True,True,False,False,False,False,missing_only,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,evaluation/availability,evaluation,* **Evaluation Logs**: Not enough information is available.,No,False,False,False,False,False,False,False,missing_only,True,True,1.0,missing_to_negative_match,none,no,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,dataset/provenance,dataset,"* **Data Source Name**:
  * iDNA-MS dataset: Not enough information is available.

* **Total Data Points**:
  * 6mA Training Set: N=96,527
  * 6mA Test Set: N=96,527
  * 4mC Training Set: N=7,899
  * 5hmC Training Set: N=1,172
  * 5hmC Test Set: N=1,172
  * 4mC Test Set: N=1,840

* **Previous Use**:
  * iDNA-MS dataset: Not enough information is available.","Data source: iDNA-MS (Lv, Hao, et al. ""iDNA-MS: an integrated computational tool for detecting DNA modification sites in multiple genomes."" Iscience 23.4 (2020): 100991.)
Data are in classes,the data statistics for positive samples and negative samples in both training dataset and test dataset can be found in supplementary file of published paper.
",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,dataset/redundancy,dataset,"* **Redundancy Methodology**: The dataset is partitioned into a training set and an independent test set at a 1:1 ratio. The training dataset provides samples for methylation type 6mA present in 11 different species. The type 4mC type is present in 4 species. The dataset provides the same number of non-methylation sequences as negative samples. The processed training dataset and the processed independent test set were split into three sets by methylation types. The external dataset is not contained in the training or independent datasets, nor do the associated taxonomic lineages coincide.

* **Independent Sets**: Yes. The dataset is partitioned into a training set and an independent test set at a 1:1 ratio. The external dataset is not contained in the training or independent datasets, nor do the associated taxonomic lineages coincide.

* **Independence Enforcement**: Not enough information is available.","The training and test set are split by iDNA-MS, they are independent.
",True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,dataset/availability,dataset,"* **Dataset Publicly Available**: Yes.

* **Dataset URL/License**:
  * Not enough information is available.","Data are public, can be obtained from iDNA-MS(http://lin-group.cn/server/iDNA-MS/), as well as MuLan-Methyl(https://github.com/husonlab/mulan-methyl).",False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,0,2,True,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,optimization/parameters,optimization,"* **Parameter Count (p)**:
  * BERT: 110M
  * DistilBERT: 40% the size of BERT (approximately 44M)
  * ALBERT: Not enough information is available
  * ELECTRA: Not enough information is available
  * XLNet: Not enough information is available

* **Architecture Selection**:
  * Not enough information is available","Here is the models' parameter:
Model Number of parameters
MuLan-Methyl-BERT 105,242,882
MuLan-Methyl-DistilBERT 62,714,114
MuLan-Methyl-ALBERT 11,045,122
MuLan-Methyl-XLNet 111,934,466
MuLan-Methyl-ELECTRA 29,336,578",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,optimization/features,optimization,"* **Number of Features (f)**: Not enough information is available.
* **Training-Restricted Selection**: Not enough information is available.","Two features of each sample are used as input, one is sample's DNA sequence, another is its taxonomic lineage. No feature selection is performed.",False,False,False,False,False,False,False,missing_only,True,True,1.0,missing_to_negative_match,none,no,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,optimization/config,optimization,* Configuration Source: Not enough information is available,"Yes, all the hyper-parameters are reported in MuLan-Methyl manuscript and its corresponding Github repository(https://github.com/husonlab/mulan-methyl).",False,False,False,False,False,False,False,missing_only,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,model/duration,model,"* Execution Time:
  * MuLan-Methyl: Not enough information is available
  * iDNA-ABF: Not enough information is available
  * iDNA-ABT: Not enough information is available

* Hardware Used: Not enough information is available",In average one second.,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,model/availability,model,"* **Source Code Released**: Not enough information is available.
* **Code URL/License**: Not enough information is available.
* **Simplified Run Method**: Not enough information is available.",The source code is released (https://github.com/husonlab/mulan-methyl). A web server implementing the MuLan-Methyl approach is freely accessible at http://ab.cs.uni-tuebingen.de/software/mulan-methyl/.,False,False,False,False,False,False,False,missing_only,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,2,True,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,evaluation/confidence,evaluation,"* Statistical Confidence:
  * CIs: Not enough information is available
  * p-values: Not enough information is available",Performance metrics of our study doesn't have confidence intervals.,False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,evaluation/availability,evaluation,"* **Are the raw evaluation logs available?**
  * Not enough information is available.","Yes, it's available in the MuLan-Methyl manuscript and its supplementary files.",False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,yes,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,dataset/provenance,dataset,"* **Data Source Name**:
  * MyChem Data: BioThings API collection
  * SemMedDB Data: Semantic MEDLINE Database (SemMedDB)
  * NDF-RT Data: National Drug File–Reference Terminology (VHA)
  * RepoDB Data: Blavatnik Institute at Harvard Medical School

* **Total Data Points**:
  * MyChem Data: 30,458
  * SemMedDB Data: 8,266
  * NDF-RT Data: 8,540
  * RepoDB Data: 2,865
  * Shared: 4,497
  * Total Data Points: N=67,626

* **Previous Use**:
  * MyChem Data: Not enough information is available
  * SemMedDB Data: Not enough information is available
  * NDF-RT Data: Not enough information is available
  * RepoDB Data: Not enough information is available","The data (drug-disease pairs) used for training our KGML-xDTD model were collected from four high-quality and NLP-derived data sources: MyChem Data, SemMedDB Data, NDF-RT Data, and RepoDB Data. All of these are public datasets; please see a more detailed description in our paper ""KGML-xDTD: A Knowledge Graph-based Machine Learning Framework for Drug Treatment Prediction and Mechanism Description"".

The data are categorized into classes, with 21,437 positive cases and 33,189 negative cases.

The data are in classes
  ",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,dataset/splits,dataset,"* **Number of Splits**: 3 (Training, Validation, Test)

* **Split Counts**:
  * Train: 8
  * Test: 1
  * Validation: 1

* **Class Distribution**:
  * The splits are based on drug-disease pairs for each unique drug. For example, if a drug has 10 known diseases, 8 pairs are in the training set, 1 pair in the validation set, and 1 pair in the test set. Not enough information is available on the class distribution within each split.","They are 26,552 negative cases and 17,149 positive cases in the training set.
There are 3,318 negative cases and 2,143 positive cases in the validation set.
There are 3,319 negative cases and 2,145 positive cases in the validation set.

The drug class distribution in the training set and test set are similar. We plotted their distribution in Figure 7. in the paper.",True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,dataset/redundancy,dataset,"* **Redundancy Methodology**: The authors removed all existing drug-disease edges in the RTX-KG2 knowledge graph (KG) during KG reprocessing. This means the model can only use other potential graph connections (e.g., similar neighborhood) between drugs and diseases for prediction. The authors also mention that their data split strategy does not result in data leakage between the training set and test set, as some drugs in the training/test set might have similar neighborhood topology structure, but these features are what the model depends on for predictions.

* **Independent Sets**: No. The authors acknowledge that some drugs in the training/test set might have similar neighborhood topology structure, which could potentially lead to overlaps. However, they argue that this does not constitute data leakage because these features are used for predictions.

* **Independence Enforcement**: Not enough information is available. The authors do not provide specific details on the filters or logical rules used during partitioning to enforce independence between the training and test sets.","We split the data into training, validation, and test sets where the drug-disease pairs of each unique drug are randomly split according to a ratio of 8:1:1. For example, let’s say drugA has 10 known diseases that it treats (e.g., drugA-disease1, . . . , drugA-disease10), 8 pairs are randomly split into the training set, 1 pair is to the validation set, 1 pair to the test set. 

The drug-disease pairs in the training set and test set are independent, with no overlap. 

There is no such drug class distribution analysis reported in the previous dataset that is similar to ours.


",True,True,True,True,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,dataset/availability,dataset,"* **Dataset Publicly Available**: Not enough information is available.
* **Dataset URL/License**:
  * Not enough information is available.",These data are released in the Zenodo public repository: https://zenodo.org/record/7582233 with a license CC0 1.0.,False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,optimization/parameters,optimization,"* **Parameter Count (p)**:
  * Not enough information is available.

* **Architecture Selection**:
  * The architecture selection process is not explicitly detailed in the provided context. The authors mention following a multi-stage training approach for the Adversarial Actor-critic RL model, which includes behavior cloning and discriminator network training, but do not specify how the initial architecture was chosen.",There are 9 hyper-parameters used in unsupervised GraphSAGE embedding training which are selected manually while 2 hyper-parameters are used in the random forest which are selected via grid search algorithm.  The remaining hyper-parameters are set to default values.,False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,optimization/features,optimization,"* Number of Features (f): Not enough information is available
* Training-Restricted Selection: Not enough information is available","The knowledge graph node features are generated via the PubMedBERT model and GraphSage. The dimension of each node feature embedding is 512. There is no manual feature selection needed for this case. The random forest model selects the features by itself. Yes, the model selection via random forest is performed using the training set only.",False,True,True,False,False,False,False,missing_only,True,True,1.0,missing_to_negative_match,none,mixed,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,optimization/fitting,optimization,"* **p > N: No**

  The authors mention that they used a small subset of 1,000 pairs for certain evaluations, but they also ran experiments with the complete dataset. This suggests that the training set size (N) is likely larger than the parameter count (p), although the exact numbers are not provided.

* **Over-fitting Evidence**: Not enough information is available

  The provided context does not discuss specific techniques used to prevent overfitting, such as Dropout, Early Stopping, or regularization.",The training data is larger than p but the underfitting problem was ruled out via the setting of using maximum depth of 35 and the number of tress of 200 in the random forest.,True,True,True,True,False,False,False,partial_missing,False,True,0.0,no_nei_match,no,none,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,optimization/config,optimization,* Configuration Source: The authors have updated the data and code on GitHub and Zenodo for the new experiment in the revised version. Not enough information is available on the specific configuration licensing.,"Yes, they are reported in the supplemenatary material in the paper.",False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,yes,True,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/chunyuma/KGML-xDTD | License: MIT license, Apache 2.0 license, CC-BY 4.0 license, DrugBank academic license, UMLS Metathesaurus license.

* **Simplified Run Method**: Not enough information is available.","Yes, the source code released on Github: https://github.com/chunyuma/KGML-xDTD with the MIT license. Please follow the instruction on the GitHub to download and run the executable model.",True,False,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,yes,none,True,False,0.0,yesno_not_comparable,1,1,True,True,1.0,url_full_match
PMC10441000,10.1093/gigascience/giad057,evaluation/confidence,evaluation,"* Statistical Confidence:
  * CIs: Not enough information is available
  * p-values: Not enough information is available","For the ranking metrics (e.g., MRR and Hit@K), we generate 10 sets of random drug-disease pairs (each with 1,000 pairs) independently and calculate the mean and standard deviation of the ranking-based metrics outcomes, which are superior to other baselines. ",False,True,True,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,evaluation/availability,evaluation,"* **Are the raw evaluation logs available?**
  * Not enough information is available.","If you follow the evaluation instruction on Github: https://github.com/chunyuma/KGML-xDTD, you can easily reproduce the evaluation results reported in the paper.",False,False,False,False,False,False,False,partial_missing,False,True,0.0,no_nei_match,none,none,False,False,0.0,yesno_not_comparable,0,1,True,False,0.0,no_url_match
