PMCID,DOI,Field,Category,CopilotValue,HumanValue,CopilotHasNumericOrPercent,HumanHasNumericOrPercent,NumericOrPercentPresence,NumericOrPercentComparable,NumericMatch,PercentMatch,DirectNumericPercentMatch,CopilotMissingMode,HumanStrongNegative,NeiRelevant,NeiScore,NeiRule,CopilotYesNo,HumanYesNo,YesNoRelevant,YesNoComparable,YesNoScore,YesNoRule,CopilotUrlCount,HumanUrlCount,UrlRelevant,UrlComparable,UrlScore,UrlRule
PMC10174551,10.1371/journal.pcbi.1011001,optimization/meta,optimization,"* Meta-predictor: No.

* Constituent Algorithms: Not enough information is available.",No,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,optimization/fitting,optimization,"* **p > N: No**
  * The model was trained on the n9k-train dataset for 50 epochs. The training dataset consists of 9,000 contigs (N=9000). The model architecture includes a final fully connected layer with 50 neurons and an output layer with 1 neuron. Assuming standard convolutional layers and typical deep learning practices, the total number of parameters (p) is likely to be significantly less than 9,000.

* **Over-fitting Evidence**:
  * Early Stopping: The model selection process involved saving the model with the highest AUPRC on the validation set (n9k-valid), which is 10% of the n9k-train dataset. This approach helps in preventing overfitting by stopping the training when the model performance on the validation set no longer improves.
  * Gradient Clipping: Gradients were clipped to a norm of 1 and a value of 0.5 during training, which helps in stabilizing the training process and preventing the model from overfitting.
  * Data Augmentation: The training dataset was balanced by randomly selecting a 10% subset of correctly assembled contigs at every training epoch, artificially increasing the positive sample rate to 24%. This helps in reducing the computational load and preventing overfitting.
  * Regularization: The use of an Adam optimizer with exponential decay of the learning rate when plateauing at evaluation acts as a form of regularization, helping to prevent overfitting.","Yes, p much larger than number of training points. Trainable Parameters (559,441) vs. Features (14).",True,True,True,True,False,False,False,other,False,False,0.0,no_nei_match,no,yes,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10174551,10.1371/journal.pcbi.1011001,model/availability,model,"* Source Code Released: Yes.
* Code URL/License:
  * Source: https://github.com/nick-youngblut/MGSIM | License: Not enough information is available.
* Simplified Run Method:
  * Not enough information is available.",Main ResMiCo GitHub (python package and snakemake pipeline): https://github.com/leylabmpi/ResMiCo - MIT license. Dataset simulation pipeline used available in Snakemake: https://doi.org/10.1093/bioinformatics/bts480 . Dockerfiles noted in the repo but no VMs/web server. Direct pip install possible from a command line and information in GitHub software repo but limitations noted for incompatibility with apple Mac machines due to chipset.  ,False,True,True,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,yes,no,True,True,0.0,yesno_mismatch,1,2,True,True,0.0,no_url_match
PMC10316696,10.1093/gigascience/giad044,optimization/meta,optimization,"* Meta-predictor: No

* Constituent Algorithms:
  * Not enough information is available",No,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10367125,10.1093/gigascience/giad054,evaluation/comparison,evaluation,"* **Comparison Performed**: Yes
  * **List of tools/baselines**:
    * iDNA-ABF
    * iDNA-ABT","Yes, MuLan-Methyl is compared with iDNA-ABF and iDNA-ABT on the iDNA-MS independent dataset, MuLan-Methyl outperforms 13 out of 17 sub-dataset.",False,True,True,False,False,False,False,other,False,False,0.0,no_nei_match,yes,yes,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,dataset/redundancy,dataset,"* **Redundancy Methodology**: The authors removed all existing drug-disease edges in the RTX-KG2 knowledge graph (KG) during KG reprocessing. This means the model can only use other potential graph connections (e.g., similar neighborhood) between drugs and diseases for prediction. The authors also mention that their data split strategy does not result in data leakage between the training set and test set, as some drugs in the training/test set might have similar neighborhood topology structure, but these features are what the model depends on for predictions.

* **Independent Sets**: No. The authors acknowledge that some drugs in the training/test set might have similar neighborhood topology structure, which could potentially lead to overlaps. However, they argue that this does not constitute data leakage because these features are used for predictions.

* **Independence Enforcement**: Not enough information is available. The authors do not provide specific details on the filters or logical rules used during partitioning to enforce independence between the training and test sets.","We split the data into training, validation, and test sets where the drug-disease pairs of each unique drug are randomly split according to a ratio of 8:1:1. For example, let’s say drugA has 10 known diseases that it treats (e.g., drugA-disease1, . . . , drugA-disease10), 8 pairs are randomly split into the training set, 1 pair is to the validation set, 1 pair to the test set. 

The drug-disease pairs in the training set and test set are independent, with no overlap. 

There is no such drug class distribution analysis reported in the previous dataset that is similar to ours.


",True,True,True,True,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10441000,10.1093/gigascience/giad057,optimization/meta,optimization,"* Meta-predictor: Yes.
* Constituent Algorithms:
  * GraphSAGE-link
  * GraphSAGE+logistic
  * GraphSAGE+SVM
  * Random Forest
  * TransE
  * TransR
  * RotatE
  * DistMult
  * ComplEx
  * ANALOGY
  * SimplE
  * GAT
  * MultiHop reinforcement learning model
  * KGML-xDTD w/o DP","No, the model uses the training data that are collected by ourselves. The training data is independent of the test data.",False,False,False,False,False,False,False,other,True,False,0.0,no_nei_match,yes,no,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10541796,10.1093/gigascience/giad071,optimization/meta,optimization,"* Meta-predictor: No

* Constituent Algorithms:
  * Not enough information is available",The input to our models is only the available features and no meta-predictions were used.,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10603766,10.1093/gigascience/giad082,optimization/meta,optimization,"* Meta-predictor: No

* Constituent Algorithms:
  * Not enough information is available","No, our model does not utilize data from other algorithms.",False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10603766,10.1093/gigascience/giad082,evaluation/comparison,evaluation,"* **Comparison Performed**: Yes
  * **List of tools/baselines**:
    * **Lacalle et al., 2021**
    * **Piccinini et al., 2023**
    * **Trossbach et al., 2023**
    * **Mask R-CNN**: The authors used Mask R-CNN as a baseline model for comparison.
    * **Detectron2**: The authors used Detectron2 as a baseline model for comparison.
    * **VGG Annotator**: The authors used VGG Annotator for manual annotation as a baseline for comparison.
    * **Incucyte and microscope platforms**: The authors tested the tool on images from these platforms as a baseline for comparison.",No.,True,False,True,False,False,False,False,other,True,False,0.0,no_nei_match,yes,no,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10603766,10.1093/gigascience/giad082,evaluation/confidence,evaluation,"* Statistical Confidence:
  * CIs: Yes - 0.937 and 0.972 (Test), 0.927 and 0.97 (Validation) for masking.
  * p-values: Not enough information is available.",No.,True,False,True,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,yes,no,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10653424,10.1371/journal.pcbi.1011563,optimization/meta,optimization,"* Meta-predictor: No.

* Constituent Algorithms:
  * Not enough information is available.",No,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10653424,10.1371/journal.pcbi.1011563,model/availability,model,"* **Source Code Released**: Yes.

* **Code URL/License**:
  * Source: https://github.com/maslov-group/FUN-PROSE | License: Not enough information is available.

* **Simplified Run Method**: Not enough information is available.",GitHub repository: https://github.com/maslov-group/FUN-PROSE. Primarily in python and jupyter notebooks. No containers present in the repo or other run method support/variations. ,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,yes,no,True,True,0.0,yesno_mismatch,1,1,True,True,1.0,url_full_match
PMC10653424,10.1371/journal.pcbi.1011563,evaluation/comparison,evaluation,"* **Comparison Performed**: Yes
  * **List of tools/baselines**:
    * **Nearest Neighbour Regression**: This simpler model was compared against FUN-PROSE to evaluate its performance. The Nearest Neighbour Regression model achieved correlation coefficients of 0.39 for S. cerevisiae and 0.31 for N. crassa, which are significantly lower than FUN-PROSE's performance.
    * **Replicate Comparison**: The authors compared the performance of FUN-PROSE to the correlation between replicates of the N. crassa data, which had a correlation of 0.79. This served as a baseline to show that FUN-PROSE's performance (0.72) is close to the limit of what is possible in predicting condition-specific gene expression.","The evaluation of the model performance seems to be against that of the 3x distinct datasets used for the study to create the model.
-S. cerevisiae dataset (noted under data section)
-N. crassa dataset (noted under data section)
-I. orientalis dataset (noted under data section)

No other models cross compared or simpler baseline to evaluate the model. Poorly described evaluation.",True,True,True,True,False,False,False,other,True,False,0.0,no_nei_match,yes,no,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10653424,10.1371/journal.pcbi.1011563,evaluation/confidence,evaluation,* **Statistical Confidence**: [CIs: No | p-values: No - Not enough information is available].,No,False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
PMC10659119,10.1093/gigascience/giad096,optimization/meta,optimization,"* Meta-predictor: Yes
* Constituent Algorithms:
  * PT17
  * PT19
  * Limit
  * Wide
  * Long
  * Short
  * Human
  * Mouse
  * Orbitrap
  * Q. Exactive","No
",True,False,True,False,False,False,False,other,True,False,0.0,no_nei_match,yes,no,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10659119,10.1093/gigascience/giad096,evaluation/comparison,evaluation,"**Comparison Performed**: Yes

* **Species Model Comparison**:
  * The species model was compared against other models trained and validated on individual internal datasets and cross-tested on all external datasets. The specific models or tools used for comparison are not explicitly named.

* **Gradient Model Comparison**:
  * The gradient model was compared against other models trained and validated on individual internal datasets and cross-tested on all external datasets. The specific models or tools used for comparison are not explicitly named.

* **Gradient-Based Refinement Model Comparison**:
  * The gradient-based refinement model was refined on all previous external datasets and retested on both datasets. The specific models or tools used for comparison are not explicitly named.

**Additional Information**:
* The performance comparisons are visually represented in Supplementary Figures S1, S2, and S3. The x-axis denotes datasets, and the bars denote model performance on the given dataset. Source: Supplementary.","Since the field has no standard metric, methods or benchmarking datasets we did not test to other models or datasets. ",True,False,True,False,False,False,False,other,True,False,0.0,no_nei_match,yes,no,True,True,0.0,yesno_mismatch,0,0,False,False,0.0,no_url_match
PMC10684096,10.1371/journal.pone.0294812,optimization/meta,optimization,"* Meta-predictor: No

* Constituent Algorithms: Not enough information is available","No - data is sourced from direct Europe PMC API query of data as detailed in text, and is not inputting meta-predictions to the models.",False,False,False,False,False,False,False,partial_missing,True,True,0.5,partial_missing_to_negative_half_match,no,no,True,True,1.0,yesno_match,0,0,False,False,0.0,no_url_match
